Bmag,monomers,tetramers,npanels
0.0223606797749979,134,48,400
0.014142135623731,128,52,400
0.014142135623731,124,52,400
0.02,138,48,400
0.014142135623731,146,36,401
0.02,140,52,400
0.014142135623731,123,48,400
0.014142135623731,140,48,401
0.014142135623731,130,48,400
0.014142135623731,138,44,400
0.014142135623731,139,48,400
0.0223606797749979,134,48,400
0.014142135623731,142,52,400
0.014142135623731,137,52,400
0.0223606797749979,128,56,400
0.014142135623731,140,56,400
0.0223606797749979,135,56,400
0.014142135623731,137,48,400
0.0223606797749979,143,48,400
0.01,145,32,400
0.014142135623731,132,60,400
0.0223606797749979,132,44,400
0.014142135623731,131,52,400
0.0223606797749979,138,56,401
0.014142135623731,143,44,400
0.0223606797749979,132,40,400
0.014142135623731,137,44,400
0.014142135623731,137,44,400
0.014142135623731,144,44,400
0.014142135623731,142,36,400
0.0223606797749979,135,56,400
0.014142135623731,140,48,401
0.01,132,56,400
0.02,137,48,400
0.014142135623731,133,48,400
0.014142135623731,129,48,400
0.014142135623731,140,52,400
0.02,134,52,400
0.0223606797749979,133,52,400
0.014142135623731,130,44,400
0.0223606797749979,129,48,400
0.014142135623731,129,52,400
0.014142135623731,134,52,400
0.01,134,44,400
0.0223606797749979,130,48,400
0.0223606797749979,132,48,400
0.014142135623731,143,48,400
0.02,134,56,400
0.0223606797749979,135,44,400
0.014142135623731,143,48,400
0.014142135623731,139,48,400
0.014142135623731,129,60,400
0.02,144,48,401
0.014142135623731,134,48,401
0.014142135623731,133,56,400
0.014142135623731,146,44,400
0.01,131,52,400
0.014142135623731,131,56,400
0.0223606797749979,129,48,400
0.014142135623731,128,52,400
0.014142135623731,134,44,400
0.014142135623731,129,52,400
0.014142135623731,137,44,400
0.014142135623731,130,60,400
0.014142135623731,140,44,400
0.0223606797749979,129,56,400
0.0223606797749979,139,56,400
0.0223606797749979,134,44,400
0.0223606797749979,134,48,400
0.0223606797749979,138,52,401
0.0223606797749979,134,52,400
0.0223606797749979,137,52,400
0.014142135623731,134,52,400
0.014142135623731,142,52,400
0.0223606797749979,134,44,400
0.014142135623731,144,52,400
0.014142135623731,134,56,400
0.014142135623731,132,48,400
0.0223606797749979,137,52,400
0.0223606797749979,128,56,400
0.014142135623731,135,48,400
0.014142135623731,137,52,401
0.014142135623731,137,52,400
0.014142135623731,133,52,400
0.014142135623731,136,44,400
0.014142135623731,131,48,400
0.014142135623731,135,44,400
0.014142135623731,134,48,400
0.014142135623731,127,56,400
0.014142135623731,129,52,400
0.0223606797749979,138,52,400
0.0223606797749979,125,56,400
0.0223606797749979,134,48,400
0.014142135623731,138,40,400
0.0223606797749979,143,48,401
0.0223606797749979,129,48,400
0.014142135623731,139,60,400
0.014142135623731,144,48,400
0.014142135623731,141,44,400
0.0223606797749979,134,44,400
0.02,138,48,400
0.014142135623731,139,56,400
0.0223606797749979,130,44,400
0.014142135623731,136,52,400
0.014142135623731,136,52,400
0.01,135,56,400
0.0223606797749979,140,56,401
0.0223606797749979,134,48,400
0.014142135623731,135,40,400
0.01,135,56,400
0.014142135623731,122,56,400
0.02,138,40,400
0.01,135,48,400
0.0223606797749979,139,52,400
0.014142135623731,133,56,400
0.014142135623731,130,52,400
