Bmag,monomers,tetramers,npanels
18.0981794664546,237,0,310
18.0646201177883,247,0,311
17.9260982927128,241,0,311
18.0298641148512,243,0,311
18.1235151115891,250,0,311
18.0767087712338,247,0,311
18.1235151115891,246,0,311
18.0371976759141,237,0,311
0.0223606797749979,151,0,311
0.014142135623731,74,0,311
0.014142135623731,53,4,310
0.01,38,28,310
0.0223606797749979,35,24,310
0.0223606797749979,31,28,310
0.014142135623731,29,36,310
0.0223606797749979,28,48,310
0.01,26,48,309
0.0223606797749979,28,48,309
0.014142135623731,19,52,309
0.014142135623731,20,60,309
0.014142135623731,18,60,309
0.01,18,64,310
0.014142135623731,22,68,309
0.0223606797749979,21,68,309
0.014142135623731,19,68,309
18.1068937148259,171,40,311
18.0454232424734,174,44,310
18.0455534689297,173,44,311
18.0355426865953,179,44,310
17.9549798106264,186,44,310
0.014142135623731,156,48,310
0.0223606797749979,57,60,309
0.0223606797749979,45,72,310
0.014142135623731,45,76,309
0.0223606797749979,35,76,309
0.0223606797749979,26,76,309
0.014142135623731,26,76,309
0.014142135623731,27,76,309
0.0223606797749979,22,76,309
0.014142135623731,19,76,309
0.014142135623731,17,76,310
0.014142135623731,18,76,309
0.01,15,76,309
0.014142135623731,15,76,309
0.014142135623731,17,76,309
0.014142135623731,15,72,309
0.014142135623731,19,76,309
17.9936683308324,143,64,311
17.9395707863929,150,64,311
18.0267606629699,152,64,311
17.9441188136949,149,64,310
18.0358670432003,159,68,309
18.0702241269996,164,68,310
0.01,68,72,309
0.014142135623731,47,80,310
0.014142135623731,43,80,310
0.014142135623731,32,88,309
0.014142135623731,30,84,309
0.02,26,92,309
0.0223606797749979,24,92,309
0.014142135623731,23,100,309
0.0223606797749979,25,100,309
0.014142135623731,28,104,309
0.014142135623731,22,104,309
0.0223606797749979,20,104,309
0.0223606797749979,22,104,309
0.014142135623731,22,104,309
0.014142135623731,19,108,309
0.0223606797749979,17,108,309
18.0379211662542,97,104,311
17.9274677520279,135,104,310
18.0368733432377,142,112,310
18.0460882187803,136,100,310
18.0373085575426,138,100,310
18.0679273852869,141,100,310
0.0223606797749979,75,104,309
0.0223606797749979,47,104,309
0.014142135623731,35,108,309
0.0223606797749979,31,108,309
0.014142135623731,27,108,309
0.014142135623731,26,108,309
0.014142135623731,21,108,309
0.01,23,108,309
0.01,21,104,309
0.014142135623731,20,104,309
0.0316227766016838,22,104,309
0.014142135623731,28,104,309
0.0223606797749979,24,104,309
0.0223606797749979,19,104,309
0.014142135623731,19,104,309
0.014142135623731,22,108,309
0.0223606797749979,24,108,309
18.0503351769434,119,104,310
18.0503351769434,124,104,310
18.0625634946981,130,108,310
18.0503351769434,130,108,310
18.0111215641892,131,108,310
0.0223606797749979,87,108,310
0.014142135623731,45,108,310
0.014142135623731,40,108,310
0.014142135623731,37,112,310
0.014142135623731,37,112,310
0.014142135623731,33,112,310
